time,event,p1,p2
2.8568757400857008,3,63,154.0
2.859013230579438,3,192,60.0
2.8971240132436322,3,192,12.0
2.920035710215098,3,101,150.0
2.9217997633530266,3,126,112.0
2.938164667114667,3,188,138.0
2.9689920460981227,3,185,178.0
3.0431552684047305,6,16,59.0
3.0702336340144685,3,146,58.0
3.140427536046626,3,170,171.0
3.181277475837097,6,91,41.0
3.186378123181305,3,179,38.0
3.189589846163471,3,49,12.0
3.2072264674656727,6,176,141.0
3.212698776299126,6,122,156.0
3.2214396254675854,3,99,134.0
3.23106422014922,3,53,55.0
3.239189405051305,3,55,13.0
3.2497194542364713,3,153,146.0
3.279261208854941,3,154,36.0
3.3024209868046093,3,83,131.0
3.315584874281296,3,110,131.0
3.327203414681233,3,195,136.0
3.343658319520332,3,12,198.0
3.3960470791221438,6,55,29.0
3.4201506803665027,3,36,105.0
3.4251056118069014,3,198,159.0
3.4493056471372285,3,153,33.0
3.499338049799352,6,16,77.0
3.5095093218085087,3,69,152.0
3.513278759361548,3,80,57.0
3.5185611299809825,3,73,171.0
3.5246625252530572,3,11,90.0
3.531313929158387,3,126,114.0
3.5377174819365127,3,21,84.0
3.594868110453219,3,122,100.0
3.645796204624712,3,177,10.0
3.66203309770036,3,86,1.0
3.692466256926727,3,197,60.0
3.702036949912789,3,80,188.0
3.737807013620072,3,17,50.0
3.7385664085092305,3,5,33.0
3.740152210127021,3,112,58.0
3.7682017038695554,6,122,72.0
3.794429387647812,3,78,32.0
3.8000161386938585,3,54,57.0
3.806521247796035,3,177,47.0
3.8351707334219265,3,57,153.0
3.8356250591714685,3,98,172.0
3.8716666448869717,3,167,192.0
3.94134181072877,3,162,141.0
3.9593887824443246,3,88,115.0
3.990472227090914,3,164,112.0
4.037718314078361,3,195,197.0
4.056671447695001,3,117,101.0
4.058601850598276,3,115,125.0
4.070730091048221,6,63,181.0
4.085734057277265,3,163,64.0
4.098175541877355,6,159,145.0
4.099562246690433,3,131,63.0
4.108196985490031,3,122,57.0
4.116649604650209,3,95,194.0
4.134424141815695,3,145,28.0
4.138438392543631,3,86,34.0
4.1803735396922495,3,194,183.0
4.198997263091463,3,168,149.0
4.207548877390074,3,11,74.0
4.223624915916394,3,73,46.0
4.269011670369013,3,68,188.0
4.276849422758387,3,99,113.0
